数据期,行业代码,门类代码,门类内容,大类代码,大类内容,中类代码,中类内容,小类代码,小类内容,经度,维度,注册资本(人民币元),企业经营日期,企业登记设立日期,企业缴纳社保人员数
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.801972,22.738983,10000000,2003/1/1,1987/6/18,275
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.813962,22.715224,6780000,2005/12/1,1987/11/2,120
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.787347,22.713484,13460000,2006/12/1,1987/6/18,161
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.845556,22.614623,8685000,2012/12/1,1988/4/1,15
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.864754,22.644062,11000000,2003/9/1,1987/4/21,208
2015,E4790,E,建筑业,47,房屋建筑业,479,其他房屋建筑业,4790,其他房屋建筑业,113.888031,22.560661,166500000,1993/1/1,1986/10/18,1100
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.813603,22.781537,30000240,2003/8/1,1987/7/5,175
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.820241,22.755628,2079000,2012/12/1,1988/2/8,176
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.880737,22.595634,26244000,2003/11/1,1988/3/15,234
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.813603,22.781537,10500000,2014/2/1,1988/2/10,62
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.839438,22.623127,5930000,2003/4/1,1988/5/19,335
2015,C2641,C,制造业,26,化学原料和化学制品制造业,264,涂料、油墨、颜料及类似产品制造,2641,涂料制造,113.850859,22.714923,10000000,1997/6/1,1986/5/2,83
